timestamp (ms),stateEstimate.x,stateEstimate.y,stateEstimate.z,motor.m1,motor.m2,motor.m3,motor.m4
10434,-4.4433782022679225e-05,6.217851478140801e-05,-2.1566333770751953,0,0,0,0
10444,-0.00014007733261678368,0.00020817636686842889,0.03596263378858566,0,0,0,0
10454,-0.00020205246983096004,0.0003216453187633306,0.03594335541129112,0,0,0,0
10464,-0.00045864100684411824,0.00041102583054453135,0.03590409457683563,0,0,0,0
10474,-0.00037424941547214985,0.00027384498389437795,0.03592520207166672,0,0,0,0
10484,-0.00041047672857530415,0.0006873226375319064,0.03645011782646179,0,0,0,0
10494,-0.0004447879910003394,0.0008061971166171134,0.036404795944690704,0,0,0,0
10504,-0.0004595341451931745,0.0005132525111548603,0.03637070581316948,0,0,0,0
10514,-6.404089799616486e-05,0.0008386573754251003,0.036306433379650116,0,0,0,0
10524,-0.00014637377171311527,0.0005477859522216022,0.03653392940759659,0,0,0,0
10534,-0.0006078084697946906,0.00044004336814396083,0.036472633481025696,0,0,0,0
10544,-0.0006170673877932131,0.00043986542732454836,0.03639473393559456,0,0,0,0
10554,-0.0001681114808889106,0.00044340305612422526,0.03630747273564339,0,0,0,0
10564,-0.0004714956448879093,0.0009152372949756682,0.03622043505311012,0,0,0,0
10574,-0.00043538506724871695,0.0009632610017433763,0.03421631455421448,0,0,0,0
10584,-0.00038936760392971337,0.0010095206089317799,0.033998459577560425,0,0,0,0
10594,-0.000610741728451103,0.0018759479280561209,0.03377097472548485,0,0,0,0
10604,0.0002539267297834158,0.0012128361267969012,0.03355255350470543,0,0,0,0
10614,-0.0013095216127112508,0.0014374913880601525,0.03511980548501015,0,0,0,0
10624,-0.0013478033943101764,0.0015007802285254002,0.0349949412047863,0,0,0,0
10634,-0.002597356680780649,0.001482405699789524,0.03485527262091637,0,0,0,0
10644,-0.001813317183405161,0.0004803634074050933,0.034756217151880264,0,0,0,0
10654,-0.0015551414107903838,0.0012430616188794374,0.034645237028598785,0,0,0,0
10664,-0.006747221574187279,0.003964676521718502,0.034225646406412125,0,0,0,0
10674,-0.00270676426589489,0.002924869069829583,0.03449273109436035,0,0,0,0
10684,-0.003422368783503771,0.0028991475701332092,0.03437374159693718,0,0,0,0
10694,-0.0026606672909110785,0.001649950398132205,0.03430921956896782,0,0,0,0
10704,-0.002741023665294051,0.0016737263649702072,0.035002175718545914,0,0,0,0
10714,-0.0028114395681768656,0.001689912285655737,0.03494766354560852,0,0,0,0
10724,-0.003665686585009098,0.0016872247215360403,0.03489101305603981,0,0,0,0
10734,-0.0016029133694246411,0.0016770720249041915,0.03487122058868408,0,0,0,0
10744,-0.0024707738775759935,0.0016784706385806203,0.034908439964056015,0,0,0,0
10754,-0.0024861262645572424,0.0016800829907879233,0.03486451879143715,0,0,0,0
10764,-0.0037038044538348913,0.0016895091393962502,0.034823138266801834,0,0,0,0
10774,-0.003664793446660042,0.002291098004207015,0.03478236123919487,0,0,0,0
10784,-0.003047090722247958,0.0005338451592251658,0.03475121408700943,0,0,0,0
10794,-0.009012194350361824,-0.0056936657056212425,0.03337204083800316,0,0,0,0
10804,-0.009495427832007408,-0.006272959988564253,0.03323259577155113,0,0,0,0
10814,-0.00925537571310997,-0.006580069195479155,0.03316987678408623,0,0,0,0
10824,-0.00876213051378727,-0.007195273879915476,0.033097680658102036,0,0,0,0
10834,-0.009137323126196861,-0.007805251516401768,0.0325351282954216,0,0,0,0
10844,-0.009527629241347313,-0.00843872595578432,0.032379139214754105,0,0,0,0
10854,-0.008595811203122139,-0.008347645401954651,0.03232904151082039,0,0,0,0
10864,-0.007427745498716831,-0.008953704498708248,0.03222832828760147,0,0,0,0
10874,-0.007973465137183666,-0.007352747488766909,0.03299809619784355,0,0,0,0
10884,-0.006605364847928286,-0.007078616414219141,0.03296168893575668,0,0,0,0
10894,-0.00958154909312725,-0.006852251011878252,0.03289689123630524,0,0,0,0
10904,-0.007885861210525036,-0.006613411940634251,0.03289463371038437,0,0,0,0
10914,-0.006941488012671471,-0.007322798017412424,0.032822031527757645,0,0,0,0
10924,-0.009753269143402576,-0.007734811864793301,0.032860614359378815,0,0,0,0
10934,-0.007986046373844147,-0.0053582703694701195,0.032908618450164795,0,0,0,0
10944,-0.007663076743483543,-0.0058214073069393635,0.03285140544176102,0,0,0,0
10954,-0.008986941538751125,-0.005729584023356438,0.03279470279812813,0,0,0,0
