timestamp (ms),stateEstimate.x,stateEstimate.y,stateEstimate.z,motor.m1,motor.m2,motor.m3,motor.m4
11812,-0.00010859379108296707,-0.00011116306995972991,-0.04043683409690857,0,0,0,0
11822,-0.00016053406579885632,-0.0002620953891891986,-0.19687563180923462,0,0,0,0
11832,-0.000216909364098683,-0.0004033797304145992,-0.19689542055130005,0,0,0,0
11842,-0.0013591310707852244,-0.0019494048319756985,0.010531173087656498,0,0,0,0
11852,-0.0015104286139830947,-0.003523516934365034,0.00984448567032814,0,0,0,0
11862,-0.0014508030144497752,-0.0040955557487905025,0.01012286264449358,0,0,0,0
11872,-0.0016628652811050415,-0.004527554847300053,0.010317769832909107,0,0,0,0
11882,-0.0033394850324839354,-0.0032451804727315903,0.011089487932622433,0,0,0,0
11892,-0.003778776852414012,-0.0037441113963723183,0.01102382130920887,0,0,0,0
11902,-0.0034736080560833216,-0.004054415971040726,0.011078212410211563,0,0,0,0
11912,-0.0036227081436663866,-0.0043479991145431995,0.01103422325104475,0,0,0,0
11922,-0.003928582649677992,-0.0047401259653270245,0.010958228260278702,0,0,0,0
11932,-0.004903855267912149,-0.0035683345049619675,0.010506014339625835,0,0,0,0
11942,-0.004881381988525391,-0.004625244066119194,0.010427379980683327,0,0,0,0
11952,-0.004974092822521925,-0.00500574242323637,0.010321837849915028,0,0,0,0
11962,-0.0042540887370705605,-0.004131328780204058,0.010293407365679741,0,0,0,0
11972,-0.004283213056623936,-0.000728504965081811,0.009642310440540314,0,0,0,0
11982,-0.0043132673017680645,-0.0011995115783065557,0.009544093161821365,0,0,0,0
11992,-0.005036978516727686,-0.0003005804610438645,0.009317765012383461,0,0,0,0
12002,-0.00451733497902751,-0.0013647350715473294,0.009290195070207119,0,0,0,0
12012,-0.004584715235978365,-0.0011810996802523732,0.008560525253415108,0,0,0,0
12022,-0.004589503165334463,-0.002029428957030177,0.008388443849980831,0,0,0,0
12032,-0.003531912574544549,-0.0016229101456701756,0.008153473027050495,0,0,0,0
12042,-0.0035400332417339087,-0.002276917453855276,0.007969780825078487,0,0,0,0
12052,-0.003455141093581915,-0.002198569942265749,0.007864013314247131,0,0,0,0
12062,-0.0033515559043735266,-0.0021103688050061464,0.007654871325939894,0,0,0,0
12072,-0.004190975334495306,-0.0018843704601749778,0.007471158634871244,0,0,0,0
12082,-0.0034279644023627043,-0.0032407406251877546,0.007285331841558218,0,0,0,0
12092,-0.004259167704731226,-0.0014214172260835767,0.007118799723684788,0,0,0,0
12102,-0.004025367088615894,0.003162638284265995,0.007231812924146652,0,0,0,0
12112,-0.004055915866047144,0.003266717540100217,0.0070808823220431805,0,0,0,0
12122,-0.003963056951761246,0.0038113293703645468,0.006892351433634758,0,0,0,0
12132,-0.0034409472718834877,0.003630105871707201,0.006761189084500074,0,0,0,0
12142,-0.0032908753491938114,0.004214584361761808,0.008113211952149868,0,0,0,0
12152,-0.001397340907715261,-0.002051917603239417,0.008277303539216518,0,0,0,0
12162,-0.0009661390213295817,-0.0026087197475135326,0.00818505696952343,0,0,0,0
12172,-0.0006251854356378317,-0.0025939829647541046,0.008101945742964745,0,0,0,0
12182,-0.0014162397710606456,-0.0046713571064174175,0.00971487071365118,0,0,0,0
12192,-0.005403144285082817,-0.002284635091200471,0.009917356073856354,0,0,0,0
12202,-0.006436282303184271,-0.0017918176017701626,0.009928067214787006,0,0,0,0
12212,-0.006513539236038923,-0.0017025248380377889,0.00995249580591917,0,0,0,0
12222,-0.005662723444402218,-0.003102899296209216,0.010006015188992023,0,0,0,0
12232,-0.005923504009842873,-0.0011873797047883272,0.010458787903189659,0,0,0,0
12242,-0.005918447859585285,0.003372741863131523,0.010476709343492985,0,0,0,0
12252,-0.005911504849791527,0.002182025695219636,0.010603443719446659,0,0,0,0
12262,-0.005376375280320644,0.002888789400458336,0.010646705515682697,0,0,0,0
12272,-0.00593150407075882,0.001640646019950509,0.010778064839541912,0,0,0,0
12282,-0.0059296200051903725,0.0018914532847702503,0.009657981805503368,0,0,0,0
12292,-0.00040866152266971767,-0.0010626899311318994,0.009739466942846775,0,0,0,0
12302,-0.0015418026596307755,-0.0005572916707023978,0.009817264974117279,0,0,0,0
12312,-0.0008300752961076796,-0.0003307466977275908,0.009804540313780308,0,0,0,0
12322,-0.0016804690239951015,-0.000370383815607056,0.009503479115664959,0,0,0,0
12332,-0.0013999543152749538,-0.0002515777887310833,0.009489629417657852,0,0,0,0
12342,-0.0011065443977713585,-0.00012786216393578798,0.00947508867830038,0,0,0,0
12352,-0.001527389045804739,0.0007090534782037139,0.00947948731482029,0,0,0,0
12362,-0.0013332969974726439,0.0006625808891840279,0.010084926150739193,0,0,0,0
12372,-0.0010581417009234428,0.0008287776727229357,0.010107701644301414,0,0,0,0
12382,-0.0008815911132842302,0.0019797629211097956,0.010122256353497505,0,0,0,0
12392,-0.0010018865577876568,0.0009675745968706906,0.010176111944019794,0,0,0,0
12402,-0.001993958605453372,0.0029603794682770967,0.010206105187535286,0,0,0,0
12412,0.0002518357941880822,0.0025517623871564865,0.010133427567780018,0,0,0,0
12422,-0.0024394888896495104,0.0024560075253248215,0.01023346371948719,0,0,0,0
12432,-0.002497555688023567,0.0029395068995654583,0.010249785147607327,0,0,0,0
12442,-0.0014300455804914236,0.00202622776851058,0.01029382273554802,0,0,0,0
12452,-0.0012038398999720812,0.0022265862207859755,0.010610231198370457,0,0,0,0
12462,-0.00011982009164057672,0.0033170648384839296,0.010630511678755283,0,0,0,0
12472,-0.0013827880611643195,0.0006207782425917685,0.010765334591269493,0,0,0,0
