timestamp (ms),stateEstimate.x,stateEstimate.y,stateEstimate.z,stateEstimate.vx,stateEstimate.vy,stateEstimate.vz
16365,-0.00012576043081935495,-8.610710210632533e-05,0.014998352155089378,-0.013994219712913036,-0.009919499978423119,-0.0007413228740915656
16375,-1.051095750881359e-05,-0.00011255932622589171,0.015126305632293224,0.0005304992664605379,-0.006291551049798727,-0.0015859639970585704
16385,-3.530212052282877e-05,-0.00016697814862709492,0.015108639374375343,-1.563268779136706e-05,-0.006352417636662722,-0.002544109709560871
16395,9.50837493292056e-05,-0.00013404936180450022,0.015085444785654545,0.004444979131221771,-0.003825129009783268,-0.00351647543720901
16405,0.0001824809005483985,-0.0004283709276933223,0.014995279721915722,0.0061002313159406185,-0.010514756664633751,-0.004488071892410517
16415,3.530669346218929e-05,-0.00024688447592779994,0.014971980825066566,0.0021573358681052923,-0.004590734373778105,-0.0052482918836176395
16425,4.9139820475829765e-05,-0.00020235982083249837,0.01491768378764391,0.0025018220767378807,-0.0029715299606323242,-0.005933898966759443
16435,-1.9237875676481053e-05,-0.0006393244839273393,0.014852168038487434,0.0013373722322285175,-0.01055931206792593,-0.006917448248714209
16445,0.00027030202909372747,-0.0017308583483099937,0.014835777692496777,0.0064536770805716515,-0.027621636167168617,-0.008137144148349762
16455,0.0003014714166056365,0.00020579855481628329,0.01492340862751007,0.0066607496701180935,0.006240714341402054,-0.008245415985584259
16465,0.00021680601639673114,0.00023480385425500572,0.014839678071439266,0.00509223947301507,0.006182954180985689,-0.00927018467336893
16475,0.00035810875124298036,0.0007482408545911312,0.014727870933711529,0.006954259239137173,0.013001980260014534,-0.010503045283257961
16485,-0.001598177943378687,0.0002668304950930178,0.01515949983149767,-0.020040182396769524,0.005328038241714239,-0.008710776455700397
16495,-0.00012589643301907927,0.0014023348921909928,0.015131422318518162,0.0010693431831896305,0.019666284322738647,-0.009352491237223148
16505,0.0004678163677453995,0.0007171215256676078,0.015075638890266418,0.008645539171993732,0.00954922754317522,-0.009955751709640026
