timestamp (ms),stateEstimate.x,stateEstimate.y,stateEstimate.z,motor.m1,motor.m2,motor.m3,motor.m4
10091,-3.483477485133335e-05,-1.0077475053549279e-05,3.470982074737549,0,0,0,0
10101,0.00010349614603910595,-0.00018536319839768112,0.01607622765004635,0,0,0,0
10110,0.000360411882866174,-0.0003401048597879708,0.016014155000448227,0,0,0,0
10121,0.0005303894868120551,-0.0004702152218669653,0.015987224876880646,0,0,0,0
10130,0.0007263582665473223,-0.0006231488077901304,0.015946872532367706,0,0,0,0
10141,0.0010690612252801657,-0.0007202868582680821,0.015940973535180092,0,0,0,0
10150,0.0012390511110424995,-0.0016312864609062672,0.015850435942411423,0,0,0,0
10161,0.0009702874813228846,-0.0008565842290408909,0.015964524820446968,0,0,0,0
10170,0.0012703026877716184,-0.0009124476928263903,0.015892069786787033,0,0,0,0
10181,0.0015990217216312885,-0.0009606360690668225,0.015811055898666382,0,0,0,0
10190,0.0012398393591865897,-0.0005259570898488164,0.01506093330681324,0,0,0,0
10201,0.0018280820222571492,-0.0011708842357620597,0.014942893758416176,0,0,0,0
10210,0.002057987032458186,-0.001483054249547422,0.014820755459368229,0,0,0,0
10221,0.0018449360504746437,-0.0016660805558785796,0.014713986776769161,0,0,0,0
10230,0.0022171889431774616,-0.0013841139152646065,0.01436404138803482,0,0,0,0
10241,0.0009503625915385783,-0.0018995534628629684,0.014246467500925064,0,0,0,0
10250,0.0016636195359751582,-0.0010555421467870474,0.01410376001149416,0,0,0,0
10261,0.0018317491048946977,-0.0010809339582920074,0.013934380374848843,0,0,0,0
10270,0.002450937405228615,-0.00128528056666255,0.01345785055309534,0,0,0,0
10280,0.0026921117678284645,-0.0013297881232574582,0.013252758421003819,0,0,0,0
10290,0.0029453153256326914,-0.0013723802985623479,0.01304102037101984,0,0,0,0
10300,0.0023389447014778852,-0.0005589186912402511,0.01285064872354269,0,0,0,0
10310,0.0025258827954530716,-0.0005129732307977974,0.012638701125979424,0,0,0,0
10321,0.002727655926719308,-0.00046693370677530766,0.013458273373544216,0,0,0,0
10330,0.0026142681017518044,-0.005127670709043741,0.01335663441568613,0,0,0,0
10341,0.0034854032564908266,-0.002006745198741555,0.013358015567064285,0,0,0,0
10350,0.0017889740411192179,-8.464124402962625e-05,0.013268520124256611,0,0,0,0
10361,0.004523986019194126,-0.0022881892509758472,0.01446941215544939,0,0,0,0
10370,0.0019638852681964636,-0.0004420897166710347,0.014504623599350452,0,0,0,0
10381,0.003996336366981268,-0.0019521116046234965,0.014494742266833782,0,0,0,0
10390,0.003607187420129776,-0.0016303451266139746,0.01447384525090456,0,0,0,0
10402,0.003537136595696211,-0.0021114672999829054,0.014249891974031925,0,0,0,0
10410,0.0037403081078082323,-0.0021772533655166626,0.014200481586158276,0,0,0,0
10421,0.0033926921896636486,0.0009408324840478599,0.014172154478728771,0,0,0,0
10430,0.002500711940228939,0.004236053675413132,0.014026287943124771,0,0,0,0
10442,0.0025926900561898947,0.003611357416957617,0.014035336673259735,0,0,0,0
10450,0.0026919101364910603,0.003970398101955652,0.013981265015900135,0,0,0,0
10460,0.0015823309076949954,-0.0015528497751802206,0.01418201345950365,0,0,0,0
10470,0.001602079370059073,-0.0016002842457965016,0.014148224145174026,0,0,0,0
10481,0.000134063302539289,-0.000702517805621028,0.014109602198004723,0,0,0,0
10490,0.0018954690312966704,-0.002998857758939266,0.014511713758111,0,0,0,0
10501,0.004157130606472492,-0.010633515194058418,0.014338978566229343,0,0,0,0
10510,0.0032501027453690767,-0.009277435950934887,0.014516644179821014,0,0,0,0
10521,0.003377166111022234,-0.009814685210585594,0.014504599384963512,0,0,0,0
10530,0.00211313646286726,-0.009580845944583416,0.014572649262845516,0,0,0,0
10540,0.00535138975828886,-0.00966328289359808,0.013463725335896015,0,0,0,0
10550,0.0028236843645572662,-0.007925041951239109,0.013571714051067829,0,0,0,0
10562,0.0016492856666445732,-0.008361273445189,0.013515321537852287,0,0,0,0
10572,0.0038945525884628296,-0.00852220132946968,0.013500231318175793,0,0,0,0
10580,0.0018991392571479082,-0.007272200658917427,0.013313781470060349,0,0,0,0
10590,0.0016214606584981084,-0.008563704788684845,0.013238586485385895,0,0,0,0
10600,0.002988231834024191,-0.009277338162064552,0.013182351365685463,0,0,0,0
10610,0.001874108100309968,-0.007813500240445137,0.013187234289944172,0,0,0,0
10620,0.004021377302706242,-0.008580006659030914,0.014282838441431522,0,0,0,0
10630,0.00027104667969979346,-0.00823662057518959,0.014339568093419075,0,0,0,0
10640,0.0021454142406582832,-0.008165775798261166,0.01439523883163929,0,0,0,0
10650,0.002667058724910021,-0.007841208018362522,0.014421538449823856,0,0,0,0
10662,0.0018694248283281922,-0.006748145911842585,0.014454259537160397,0,0,0,0
10671,0.0036767281126230955,-0.009564309380948544,0.014700355008244514,0,0,0,0
10680,0.0021326332353055477,-0.0064695123583078384,0.01481445599347353,0,0,0,0
10691,0.0026424031239002943,-0.006695303600281477,0.014852263033390045,0,0,0,0
10700,0.0028872848488390446,-0.007181539665907621,0.014889567159116268,0,0,0,0
10710,0.0028758470434695482,-0.00689666997641325,0.014956358820199966,0,0,0,0
10720,0.0029333096463233232,-0.007001922931522131,0.014996524900197983,0,0,0,0
10730,0.002991131506860256,-0.0071074021980166435,0.015037346631288528,0,0,0,0
10740,0.002393322763964534,-0.0056311991065740585,0.015081801451742649,0,0,0,0
10750,0.004085245076566935,-0.007889811880886555,0.015159009955823421,0,0,0,0
10760,0.0018267863197252154,-0.006684012711048126,0.013548224233090878,0,0,0,0
